rep,id,V,Cl,Emax,H,kdeg,K
1,1,3.97686937153977,2.36150371100988,252720.635170264,0.930913318013634,0.179484242293397,2.79762239973913
2,1,3.97686937153977,2.36659237202564,260994.037279901,0.930913318013634,0.178769652037997,2.90594463447171
1,2,3.97686937153977,2.08523403827291,197898.102641959,0.930913318013634,0.214959783237959,2.38521874588283
2,2,3.97686937153977,2.06451003235929,201442.867908981,0.930913318013634,0.216768444946478,2.41116476626521
1,3,3.97686937153977,0.887770366860164,472131.071814558,0.930913318013634,0.192318851512693,2.06149878085137
2,3,3.97686937153977,0.889185028083573,600104.033809678,0.930913318013634,0.193297563578229,2.15196575368937
1,4,3.97686937153977,1.5261241637108,474726.961057103,0.930913318013634,0.159848591474882,2.15494496807421
2,4,3.97686937153977,1.52683851640655,368285.2587988,0.930913318013634,0.16024629069221,2.04302416216569
1,5,3.97686937153977,2.12762798801926,384544.855465794,0.930913318013634,0.160150310173997,3.04584359947157
2,5,3.97686937153977,2.12746166234463,411390.866709688,0.930913318013634,0.159071573529346,3.14926281784309
1,6,3.97686937153977,0.831779823018313,492793.691350015,0.930913318013634,0.151738695933514,2.4310139999339
2,6,3.97686937153977,0.832011421275613,436983.935347656,0.930913318013634,0.151036473991613,2.34843845374732
1,7,3.97686937153977,1.76096833036247,632461.149987818,0.930913318013634,0.190302781161778,2.0132864790882
2,7,3.97686937153977,1.76050287592884,607913.737989774,0.930913318013634,0.189234014488847,2.04085146609516
1,8,3.97686937153977,1.77912677783623,419215.689670723,0.930913318013634,0.182148206625928,4.71832466744466
2,8,3.97686937153977,1.77798037068422,166137.093029134,0.930913318013634,0.185488396984057,2.63661938921817
1,9,3.97686937153977,1.93412866093407,297837.695434696,0.930913318013634,0.161964361869845,4.13512857397912
2,9,3.97686937153977,1.93737871879606,317849.770348482,0.930913318013634,0.161191989852579,4.35118694025887
1,10,3.97686937153977,3.61481211161761,574988.358114411,0.930913318013634,0.183791328334063,2.35747944329179
2,10,3.97686937153977,3.60644918119826,569408.643899868,0.930913318013634,0.183620709536526,2.36728951568213
1,11,3.97686937153977,1.28964156307961,590265.547866884,0.930913318013634,0.171338833681283,2.31583543123768
2,11,3.97686937153977,1.29177954396611,567002.976355746,0.930913318013634,0.171799188572519,2.2799501164083
1,12,3.97686937153977,1.32636333541452,442185.242710568,0.930913318013634,0.197508020219598,2.7575617203987
2,12,3.97686937153977,1.32663302483876,421469.759843074,0.930913318013634,0.198797440799631,2.61329585856975
1,13,3.97686937153977,0.638929334366661,383245.713786692,0.930913318013634,0.199185154194089,3.42554541613155
2,13,3.97686937153977,0.643305222211383,367823.61695059,0.930913318013634,0.193526969463178,3.3783797120192
1,14,3.97686937153977,3.02353016550697,413617.937120444,0.930913318013634,0.152920695468129,6.15183835799361
2,14,3.97686937153977,3.03354244949354,423796.432336643,0.930913318013634,0.153764095373066,6.20031729523247
1,15,3.97686937153977,0.644775091314186,448482.746437893,0.930913318013634,0.178935672844433,2.27330310557827
2,15,3.97686937153977,0.640210480482376,609284.059148944,0.930913318013634,0.188292409222347,2.46001058387791
1,16,3.97686937153977,2.66477965883153,196729.496882098,0.930913318013634,0.153400809139924,3.87144663387815
2,16,3.97686937153977,2.67266476983473,260811.549577366,0.930913318013634,0.150014238008911,4.55503383517794
1,17,3.97686937153977,2.2228694207427,396928.871076444,0.930913318013634,0.172501825270693,3.31498216017323
2,17,3.97686937153977,2.22344110275993,417376.522505952,0.930913318013634,0.172320267979042,3.46250551016552
1,18,3.97686937153977,1.15136976589127,368593.099109563,0.930913318013634,0.211839450046955,2.1272147950551
2,18,3.97686937153977,1.14840157808937,364487.161070972,0.930913318013634,0.210665657900338,2.1875215738336
1,19,3.97686937153977,0.909047176204075,463784.211711917,0.930913318013634,0.145674895442734,2.34166708977111
2,19,3.97686937153977,0.910471856427971,503208.58017337,0.930913318013634,0.145984016231451,2.41028443833285
1,20,3.97686937153977,0.640278339493472,373080.652471747,0.930913318013634,0.160994512237921,6.13691866044896
2,20,3.97686937153977,0.641927896099794,381807.333919056,0.930913318013634,0.163504033872759,5.95555102812678
1,21,3.97686937153977,6.30551681276718,548876.196822906,0.930913318013634,0.165396025248884,2.33720798101412
2,21,3.97686937153977,6.30679552733761,688969.621140514,0.930913318013634,0.165644763217304,2.49258629455484
